"site","lat","lon","coast","dhw_max"
"Ha'apiti",-17.55089,-149.89619,"West",2.85
"Taotaha",-17.53208,-149.91583,"West",3.2
"Tetaiuo",-17.50896,-149.92339,"West",3.2
"Gendron",-17.50014,-149.92244,"West",3.2
"Tiahura",-17.48573,-149.89969,"North",3.33
"Entre 2 baies",-17.48027,-149.83676,"North",3.36
"Piha'ena",-17.48261,-149.82823,"North",3.36
"Aroa",-17.47335,-149.77722,"North",3.69
"Nuarei",-17.49963,-149.75758,"East",3.69
"Tema'e",-17.50574,-149.76175,"East",3.69
"Motu Ahi",-17.54601,-149.77186,"East",3.02
"Afareaitu",-17.56583,-149.78584,"East",3.02
"Ma'atea",-17.59228,-149.79577,"East",3.02
