region_name,longitude,latitude,time_period,mmm,prob_dhw_4,prob_dhw_8,no_dhw_days_4,no_dhw_days_8,seas_sst_var,int_sst_var,trend_ann_sst,p_value
Polynesia,-143.51,-27.9,1985-2019,24.8444799130312,0.29,0.11,819,271,1.805,0.325,0.005,0.396
Polynesia,-143.5,-27.9,1985-2019,24.8414611360956,0.31,0.11,818,272,1.804,0.325,0.005,0.399
Polynesia,-143.49,-27.9,1985-2019,24.8392558770035,0.31,0.11,820,274,1.804,0.325,0.005,0.402
Polynesia,-143.51,-27.89,1985-2019,24.8498033953034,0.29,0.11,803,271,1.803,0.325,0.005,0.397
Polynesia,-143.5,-27.89,1985-2019,24.8467510753747,0.31,0.11,809,271,1.802,0.325,0.005,0.399
Polynesia,-143.49,-27.89,1985-2019,24.8446171063739,0.29,0.11,778,271,1.802,0.325,0.005,0.401
Polynesia,-143.48,-27.89,1985-2019,24.8433956112002,0.31,0.14,818,314,1.802,0.326,0.005,0.404
Polynesia,-143.5,-27.88,1985-2019,24.8551167063651,0.29,0.11,808,271,1.801,0.325,0.005,0.399
Polynesia,-143.49,-27.88,1985-2019,24.8530828262249,0.29,0.11,778,273,1.801,0.326,0.005,0.401
Polynesia,-143.48,-27.88,1985-2019,24.8508602602212,0.26,0.14,782,314,1.801,0.326,0.005,0.404
Polynesia,-143.5,-27.87,1985-2019,24.8646422796573,0.31,0.11,808,271,1.799,0.326,0.005,0.4
Polynesia,-143.49,-27.87,1985-2019,24.8626898495683,0.31,0.11,810,271,1.8,0.326,0.005,0.402
Polynesia,-143.48,-27.87,1985-2019,24.8606587162658,0.29,0.11,814,273,1.8,0.326,0.005,0.405
Polynesia,-144.33,-27.66,1985-2019,24.8942914381747,0.29,0.14,792,290,1.778,0.319,0.007,0.219
Polynesia,-144.32,-27.66,1985-2019,24.8907265012889,0.29,0.14,792,288,1.778,0.319,0.007,0.218
Polynesia,-144.33,-27.65,1985-2019,24.8924712211725,0.29,0.14,790,290,1.776,0.319,0.007,0.218
Polynesia,-144.32,-27.65,1985-2019,24.887884489701,0.29,0.14,790,289,1.776,0.319,0.007,0.217
Polynesia,-144.31,-27.65,1985-2019,24.8852732754868,0.23,0.14,758,289,1.776,0.319,0.007,0.216
Polynesia,-144.3,-27.65,1985-2019,24.8848019700054,0.26,0.14,758,289,1.776,0.319,0.007,0.216
Polynesia,-144.35,-27.64,1985-2019,24.9004458691553,0.29,0.14,790,280,1.776,0.32,0.007,0.217
Polynesia,-144.34,-27.64,1985-2019,24.8960429676324,0.29,0.14,790,281,1.775,0.32,0.007,0.218
Polynesia,-144.33,-27.64,1985-2019,24.8914212092183,0.29,0.14,790,281,1.775,0.32,0.007,0.217
Polynesia,-144.32,-27.64,1985-2019,24.8878852981875,0.29,0.14,798,288,1.774,0.32,0.007,0.217
Polynesia,-144.31,-27.64,1985-2019,24.8842858338868,0.26,0.14,758,287,1.774,0.32,0.007,0.216
Polynesia,-144.3,-27.64,1985-2019,24.8827834339574,0.23,0.17,759,318,1.774,0.32,0.007,0.215
Polynesia,-144.37,-27.63,1985-2019,24.9119763077361,0.29,0.14,789,267,1.776,0.32,0.007,0.217
Polynesia,-144.35,-27.63,1985-2019,24.9015516042039,0.29,0.14,789,266,1.775,0.32,0.007,0.218
Polynesia,-144.34,-27.63,1985-2019,24.8970915363516,0.29,0.14,789,281,1.774,0.32,0.007,0.217
Polynesia,-144.32,-27.63,1985-2019,24.8889052395545,0.29,0.14,799,286,1.773,0.32,0.007,0.216
Polynesia,-144.31,-27.63,1985-2019,24.8854117900445,0.26,0.17,757,312,1.772,0.32,0.007,0.216
Polynesia,-144.3,-27.63,1985-2019,24.8828094701202,0.26,0.17,756,313,1.772,0.32,0.007,0.215
Polynesia,-144.38,-27.62,1985-2019,24.919387456381,0.29,0.14,785,260,1.777,0.32,0.007,0.217
Polynesia,-144.37,-27.62,1985-2019,24.9142823959805,0.26,0.14,785,263,1.776,0.32,0.007,0.217
Polynesia,-144.36,-27.62,1985-2019,24.9089316841446,0.29,0.14,785,265,1.775,0.32,0.007,0.217
Polynesia,-144.34,-27.62,1985-2019,24.8990956350371,0.29,0.14,797,267,1.773,0.32,0.007,0.217
Polynesia,-144.33,-27.62,1985-2019,24.8955643401857,0.29,0.14,800,279,1.773,0.32,0.007,0.217
Polynesia,-144.32,-27.62,1985-2019,24.8909831312693,0.26,0.14,800,286,1.772,0.32,0.007,0.216
Polynesia,-144.31,-27.62,1985-2019,24.8874799581113,0.26,0.17,758,313,1.771,0.32,0.007,0.215
Polynesia,-144.3,-27.62,1985-2019,24.8860804807493,0.26,0.17,756,314,1.771,0.32,0.007,0.214
Polynesia,-144.29,-27.62,1985-2019,24.8878187923768,0.23,0.17,695,312,1.771,0.32,0.007,0.214
Polynesia,-144.39,-27.61,1985-2019,24.928972348666,0.29,0.14,796,268,1.778,0.32,0.007,0.217
Polynesia,-144.38,-27.61,1985-2019,24.9216607933047,0.29,0.14,786,261,1.777,0.32,0.007,0.217
Polynesia,-144.37,-27.61,1985-2019,24.9164587653768,0.29,0.11,786,231,1.776,0.32,0.007,0.217
Polynesia,-144.35,-27.61,1985-2019,24.9067182208423,0.29,0.14,796,264,1.774,0.32,0.007,0.217
Polynesia,-144.34,-27.61,1985-2019,24.9032958845498,0.29,0.14,795,263,1.773,0.32,0.007,0.216
Polynesia,-144.33,-27.61,1985-2019,24.8998767196956,0.29,0.14,798,265,1.772,0.32,0.007,0.216
Polynesia,-144.32,-27.61,1985-2019,24.895266207503,0.29,0.14,802,286,1.771,0.32,0.007,0.216
Polynesia,-144.31,-27.61,1985-2019,24.8917568609186,0.26,0.17,755,312,1.77,0.32,0.007,0.214
Polynesia,-144.3,-27.61,1985-2019,24.8903665232524,0.23,0.17,696,315,1.77,0.32,0.007,0.214
Polynesia,-144.29,-27.61,1985-2019,24.8921701117114,0.2,0.17,697,316,1.77,0.32,0.007,0.213
Polynesia,-144.39,-27.6,1985-2019,24.9310776172475,0.26,0.14,799,268,1.779,0.32,0.007,0.217
Polynesia,-144.38,-27.6,1985-2019,24.9249463938088,0.29,0.14,788,262,1.778,0.32,0.007,0.217
Polynesia,-144.37,-27.6,1985-2019,24.9196682189531,0.29,0.14,796,261,1.776,0.32,0.007,0.217
Polynesia,-144.35,-27.6,1985-2019,24.9120879663938,0.29,0.14,796,263,1.774,0.32,0.007,0.217
Polynesia,-144.34,-27.6,1985-2019,24.907593952297,0.26,0.14,797,264,1.773,0.32,0.007,0.216
Polynesia,-144.32,-27.6,1985-2019,24.9006045607747,0.26,0.14,802,286,1.771,0.32,0.007,0.215
Polynesia,-144.31,-27.6,1985-2019,24.8970906071711,0.26,0.17,740,314,1.77,0.32,0.007,0.214
Polynesia,-144.3,-27.6,1985-2019,24.8957231610184,0.26,0.17,741,317,1.769,0.32,0.007,0.214
Polynesia,-144.29,-27.6,1985-2019,24.8966788886231,0.26,0.17,743,317,1.769,0.32,0.007,0.214
Polynesia,-144.39,-27.59,1985-2019,24.9353129968015,0.29,0.14,798,262,1.78,0.32,0.007,0.217
Polynesia,-144.38,-27.59,1985-2019,24.9291498405035,0.29,0.14,797,261,1.778,0.32,0.007,0.217
Polynesia,-144.31,-27.59,1985-2019,24.9034782671328,0.26,0.17,738,301,1.77,0.32,0.007,0.215
