date,site,depth,plate,family,position,number,comment
01.12.00,Vaipahu,06m,1,Cassés,Dessous,4,
01.05.24,Vaipahu,06m,10,Autres,Dessous,3,
01.05.24,Vaipahu,06m,10,Acroporidae,Dessous,9,dont 1 en partie cassé
01.05.24,Vaipahu,06m,10,Pocilloporidae,Dessous,18,
01.05.24,Vaipahu,06m,9,Pocilloporidae,Dessous,1,
01.05.24,Vaipahu,06m,17,Autres,Dessous,1,
01.05.24,Vaipahu,06m,17,Acroporidae,Dessus,1,
01.05.24,Vaipahu,06m,17,Pocilloporidae,Dessous,3,
01.05.24,Vaipahu,06m,2,Autres,Dessous,1,
01.05.24,Vaipahu,06m,2,Acroporidae,Dessous,4,
01.05.24,Vaipahu,06m,2,Pocilloporidae,Dessous,9,
01.05.24,Vaipahu,06m,20,Autres,Dessous,1,
01.05.24,Vaipahu,06m,20,Autres,Bords,1,
01.05.24,Vaipahu,06m,20,Acroporidae,Dessous,1,
01.05.24,Vaipahu,06m,20,Pocilloporidae,Dessous,1,
01.05.24,Vaipahu,06m,1,Autres,Dessous,2,
01.05.24,Vaipahu,06m,1,Acroporidae,Dessous,3,
01.05.24,Vaipahu,06m,1,Pocilloporidae,Dessous,4,
01.05.24,Vaipahu,06m,16,Autres,Dessous,1,
01.05.24,Vaipahu,06m,16,Autres,Bords,1,
01.05.24,Vaipahu,06m,16,Acroporidae,Dessous,5,
01.05.24,Vaipahu,06m,16,Pocilloporidae,Dessous,6,
01.05.24,Vaipahu,06m,14,Acroporidae,Dessous,3,
01.05.24,Vaipahu,06m,14,Pocilloporidae,Dessous,7,
01.05.24,Vaipahu,06m,19,Acroporidae,Dessous,1,
01.05.24,Vaipahu,06m,19,Acroporidae,Bords,1,
01.05.24,Vaipahu,06m,19,Pocilloporidae,Dessous,4,
01.05.24,Vaipahu,06m,4,Autres,Dessous,2,
01.05.24,Vaipahu,06m,4,Autres,Dessus,1,
01.05.24,Vaipahu,06m,3,Autres,Dessous,1,
01.05.24,Vaipahu,06m,3,Autres,Dessus,1,
01.05.24,Vaipahu,06m,3,Acroporidae,Dessous,10,
01.05.24,Vaipahu,06m,3,Pocilloporidae,Dessous,10,
01.05.24,Vaipahu,06m,8,Autres,Dessous,2,
01.05.24,Vaipahu,06m,8,Acroporidae,Dessous,1,
01.05.24,Vaipahu,06m,5,Acroporidae,Dessous,2,
01.05.24,Vaipahu,06m,5,Pocilloporidae,Dessous,2,
01.05.24,Vaipahu,06m,12,Autres,Dessous,1,
01.05.24,Vaipahu,06m,12,Acroporidae,Dessus,1,
01.05.24,Vaipahu,18m,53,Autres,Dessous,1,
01.05.24,Vaipahu,18m,53,Pocilloporidae,Dessous,12,
01.05.24,Vaipahu,18m,53,Pocilloporidae,Dessus,1,
01.05.24,Vaipahu,18m,49,Acroporidae,Dessous,2,
01.05.24,Vaipahu,18m,49,Pocilloporidae,Dessous,8,
01.05.24,Vaipahu,18m,49,Pocilloporidae,Dessus,1,
01.05.24,Vaipahu,18m,56,Autres,Dessous,1,
01.05.24,Vaipahu,18m,56,Autres,Dessus,1,
01.05.24,Vaipahu,18m,56,Acroporidae,Dessus,1,
01.05.24,Vaipahu,18m,56,Pocilloporidae,Dessous,11,
01.05.24,Vaipahu,18m,56,Pocilloporidae,Dessus,3,
01.05.24,Vaipahu,18m,60,Acroporidae,Dessous,1,
01.05.24,Vaipahu,18m,60,Pocilloporidae,Dessous,8,
01.05.24,Vaipahu,18m,60,Pocilloporidae,Dessus,2,
01.05.24,Vaipahu,18m,42,Cassés,Dessous,1,
01.05.24,Vaipahu,18m,42,Autres,Dessous,4,
01.05.24,Vaipahu,18m,42,Pocilloporidae,Dessous,25,
01.05.24,Vaipahu,18m,42,Pocilloporidae,Dessus,1,
01.05.24,Vaipahu,18m,41,Pocilloporidae,Dessous,4,
01.05.24,Vaipahu,18m,41,Pocilloporidae,Bords,1,
01.05.24,Vaipahu,18m,41,Pocilloporidae,Dessus,1,
01.05.24,Vaipahu,18m,40,Pocilloporidae,Dessous,5,
01.05.24,Vaipahu,18m,44,Pocilloporidae,Dessous,3,
01.05.24,Vaipahu,18m,44,Pocilloporidae,Bords,1,
01.05.24,Vaipahu,18m,43,Cassés,Dessous,1,
01.05.24,Vaipahu,18m,43,Autres,Dessous,2,
01.05.24,Vaipahu,18m,43,Acroporidae,Dessous,2,
01.05.24,Vaipahu,18m,43,Pocilloporidae,Dessous,9,
01.05.24,Vaipahu,18m,48,Acroporidae,Bords,1,
01.05.24,Vaipahu,18m,48,Pocilloporidae,Dessous,3,
01.05.24,Vaipahu,18m,47,Pocilloporidae,Dessous,2,
01.05.24,Vaipahu,18m,47,Pocilloporidae,Bords,1,
01.05.24,Vaipahu,18m,46,Pocilloporidae,Dessous,4,
01.05.24,Vaipahu,18m,59,Autres,Dessous,1,
