"site","quadrat","ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","dia","comparison"
"E2B","1","0","Acropora","0",215.78,"Acropora","24",399.28,"survived",0.850403188432663,16.5752716105334,"2016_2018"
"E2B","1","1","Pocillopora","1",205.45,"Pocillopora","8",364.5,"survived",0.774154295449014,16.1736534050238,"2016_2018"
"E2B","1","2","Pocillopora","2",88.14,"Pocillopora","4",164.76,"survived",0.86929884275017,10.5935515042387,"2016_2018"
"E2B","1","3","Pocillopora","3",50.12,NA,NA,0,"died",NA,7.98841448487285,"2016_2018"
"E2B","1","4","Pocillopora","4",51.69,"Pocillopora","1",119.9,"survived",1.31959760108338,8.11256753853923,"2016_2018"
"E2B","1","5","Acropora","5",44.19,"Acropora","0",195.82,"survived",3.43131930300973,7.50096363688339,"2016_2018"
"E2B","1","6","Pocillopora","6",73.18,"Pocillopora","3",155.09,"survived",1.11929488931402,9.65275452312547,"2016_2018"
"E2B","1","7","Pocillopora","7",61.17,"Pocillopora","13",119.89,"survived",0.959947686774563,8.82519478263511,"2016_2018"
"E2B","1","8","Pocillopora","8",25.64,"Pocillopora","26",47.68,"survived",0.859594383775351,5.71365574103039,"2016_2018"
"E2B","1","9","Pocillopora","9",82.72,"Pocillopora","15",90.68,"survived",0.0962282398452612,10.2626690066713,"2016_2018"
"E2B","1","10","Pocillopora","10",49.85,"Pocillopora","16",114.72,"survived",1.30130391173521,7.9668683499257,"2016_2018"
"E2B","1","11","Pocillopora","11",4.41,"Pocillopora","2",20.83,"survived",3.72335600907029,2.36959625090058,"2016_2018"
"E2B","1","12","Pocillopora","12",2.82,NA,NA,0,"died",NA,1.89487084418785,"2016_2018"
"E2B","1","13","Acropora","13",127.56,"Acropora","5",291.73,"survived",1.28700219504547,12.7441922586886,"2016_2018"
"E2B","1","14","Pocillopora","14",19.35,"Pocillopora","21",29.77,"survived",0.538501291989664,4.96358592054428,"2016_2018"
"E2B","1","15","Acropora","15",41.92,"Acropora","6",125.19,"survived",1.98640267175573,7.30576496441666,"2016_2018"
"E2B","1","16","Pocillopora","16",45.85,"Pocillopora","7",92.99,"survived",1.02813522355507,7.64055188622571,"2016_2018"
"E2B","1","17","Pocillopora","17",87.94,NA,NA,0,"died",NA,10.5815256727946,"2016_2018"
"E2B","1","18","Pocillopora","18",54.08,"Pocillopora","22",115.88,"survived",1.14275147928994,8.2979994323498,"2016_2018"
"E2B","1","19","Pocillopora","19",42.54,"Pocillopora","19",29.05,"survived",-0.317113305124589,7.35959307523411,"2016_2018"
"E2B","1","20","Pocillopora","20",63.68,"Pocillopora","18",22.02,"survived",-0.654208542713568,9.00443747319816,"2016_2018"
"E2B","1","21","Pocillopora","21",60.81,"Pocillopora","23",65.1,"survived",0.0705476073014305,8.79918727584231,"2016_2018"
"E2B","1","22","Pocillopora","22",19.99,NA,NA,0,"died",NA,5.04500332004409,"2016_2018"
"E2B","1","23","Pocillopora","23",185.49,"Pocillopora","12",475.91,"survived",1.56569087282333,15.3679277442642,"2016_2018"
"E2B","1","24","Pocillopora","24",41.1,"Pocillopora","11",107.24,"survived",1.60924574209246,7.2339577886946,"2016_2018"
"E2B","1","25","Pocillopora","26",15.14,NA,NA,0,"died",NA,4.39054059396908,"2016_2018"
"E2B","1","26","Pocillopora","27",77.98,"Pocillopora","9",157.62,"survived",1.02128750961785,9.96429725060669,"2016_2018"
"E2B","1","27","Pocillopora","28",184.04,"Pocillopora","10",289.18,"survived",0.571288850249946,15.3077433285595,"2016_2018"
"E2B","1","28","Pocillopora","29",124.19,"Pocillopora","31",62.81,"survived",-0.494242692648361,12.5747214307379,"2016_2018"
"E2B","1","29","Acropora","30",35.45,NA,NA,0,"died",NA,6.71835856894089,"2016_2018"
"E2B","1","30","Pocillopora","31",24.76,"Pocillopora","32",52.38,"survived",1.11550888529887,5.61474942696846,"2016_2018"
"E2B","1","31","Pocillopora","32",35.69,"Pocillopora","29",106.14,"survived",1.97394228075091,6.74106218274227,"2016_2018"
"E2B","1","32","Pocillopora","33",52.45,NA,NA,0,"died",NA,8.17198960604817,"2016_2018"
"E2B","1","33","Pocillopora","34",68.14,"Pocillopora","27",98.64,"survived",0.44760786615791,9.31442658343787,"2016_2018"
"E2B","1","34","Acropora","35",25.77,"Acropora","25",40.93,"survived",0.588280946837408,5.72812212403202,"2016_2018"
"E2B","1","35","Pocillopora","36",7.54,NA,NA,0,"died",NA,3.09842317434258,"2016_2018"
"E2B","1","36","Pocillopora","37",73.14,"Pocillopora","28",260.74,"survived",2.56494394312278,9.65011607712207,"2016_2018"
"E2B","1","37","Acropora","38",7.95,"Acropora","14",28.18,"survived",2.54465408805031,3.18154905362852,"2016_2018"
"E2B","10","0","Pocillopora","0  ",235.15,"Pocillopora","0  ",384.36,"survived",0.634531150329577,17.3032447519092,"2016_2018"
"E2B","10","1","Pocillopora","1  ",15.53,NA,"",0,"died",NA,4.44673027400326,"2016_2018"
"E2B","10","2","Pocillopora","2  ",151.88,"Pocillopora","29  ",37.65,"survived",-0.752106926520938,13.9061001741817,"2016_2018"
"E2B","10","3","Pocillopora","3  ",64.16,"Pocillopora","28  ",39.36,"survived",-0.386533665835411,9.03831008486697,"2016_2018"
"E2B","10","4","Pocillopora","4  ",18.42,NA,"",0,"died",NA,4.84283722770255,"2016_2018"
"E2B","10","5","Pocillopora","5  ",39.21,NA,"",0,"died",NA,7.06567212295233,"2016_2018"
"E2B","10","6","Pocillopora","6  ",5.2,NA,"",0,"died",NA,2.57310039303227,"2016_2018"
"E2B","10","7","Pocillopora","7  8  ",170.58,"Pocillopora","1  ",306.62,"survived",0.79751436276234,14.7373403822034,"2016_2018"
"E2B","10","8","Pocillopora","9  ",27.57,"Pocillopora","2  ",58.99,"survived",1.13964454116794,5.92479655754933,"2016_2018"
"E2B","10","9","Pocillopora","12  ",17.72,NA,"",0,"died",NA,4.74992681340535,"2016_2018"
