"site","quadrat","ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","dia","comparison"
"HAA","01","0","Pocillopora","0",16.76,"Pocillopora","8",66.55,"survived",2.97076372315036,4.61946910042283,"2016_2018"
"HAA","01","1","Pocillopora","1",64.95,NA,NA,0,"died",NA,9.09378405453686,"2016_2018"
"HAA","01","2","Pocillopora","2",95.85,"Pocillopora","0",309.49,"survived",2.22889932185707,11.0471720527412,"2016_2018"
"HAA","01","3","Pocillopora","3",79.17,NA,NA,0,"died",NA,10.040038583426,"2016_2018"
"HAA","01","4","Pocillopora","4",2.81,"Pocillopora","3",41.72,"survived",13.846975088968,1.8915081603593,"2016_2018"
"HAA","01","5","Pocillopora","5",26.19,"Pocillopora","4",54.87,"survived",1.0950744558992,5.7746119935987,"2016_2018"
"HAA","01","6","Pocillopora","6",15.01,NA,NA,0,"died",NA,4.37165021090146,"2016_2018"
"HAA","01","7","Pocillopora","7",23.65,"Pocillopora","6",47.12,"survived",0.992389006342495,5.48745070437873,"2016_2018"
"HAA","01","8","Pocillopora","8",89.07,"Pocillopora","7",286.54,"survived",2.21702032109577,10.6492932277011,"2016_2018"
"HAA","01","9","Pocillopora","9",15.19,NA,NA,0,"died",NA,4.39778452001995,"2016_2018"
"HAA","01","10","Pocillopora","10",66.7,NA,NA,0,"died",NA,9.21548032572559,"2016_2018"
"HAA","01","11","Pocillopora","11",59.64,"Pocillopora","9",132.67,"survived",1.22451374916164,8.71412683221934,"2016_2018"
"HAA","01","12","Pocillopora","12",155.42,NA,NA,0,"died",NA,14.0672275179845,"2016_2018"
"HAA","01","13","Pocillopora","13",350.14,"Pocillopora","10",600.01,"survived",0.713628834180614,21.114262814353,"2016_2018"
"HAA","01","14","Pocillopora","14",61.2,NA,NA,0,"died",NA,8.82735861613155,"2016_2018"
"HAA","01","15","Pocillopora","15",363.97,"Pocillopora","12",720.4,"survived",0.979284006923647,21.5272152657341,"2016_2018"
"HAA","02","0","Pocillopora","0",6.92,"Pocillopora","6",47.86,"survived",5.91618497109827,2.96830214930477,"2016_2018"
"HAA","02","1","Pocillopora","1",2.45,"Pocillopora","5",21.75,"survived",7.87755102040816,1.76619276541411,"2016_2018"
"HAA","02","2","Pocillopora","2",18.54,NA,NA,0,"died",NA,4.85858633342971,"2016_2018"
"HAA","02","3","Pocillopora","3",3.15,"Pocillopora","3",34.78,"survived",10.0412698412698,2.00267435343736,"2016_2018"
"HAA","02","4","Pocillopora","4",10.01,"Pocillopora","4",30.78,"survived",2.07492507492508,3.57003191061354,"2016_2018"
"HAA","02","5","Pocillopora","5",41.83,"Pocillopora","13",65.58,"survived",0.567774324647382,7.29791820701437,"2016_2018"
"HAA","02","6","Pocillopora","6",91.15,NA,NA,0,"died",NA,10.7729190335122,"2016_2018"
"HAA","02","7","Pocillopora","7",3.68,NA,NA,0,"died",NA,2.1646065519224,"2016_2018"
"HAA","02","8","Pocillopora","8",2.74,"Pocillopora","0",38.43,"survived",13.0255474452555,1.86779986951877,"2016_2018"
"HAA","02","9","Pocillopora","9",4.83,"Pocillopora","12",46.93,"survived",8.71635610766046,2.47986834349544,"2016_2018"
"HAA","03","0","Pocillopora","1  ",3.91,NA,NA,0,"died",NA,2.23122536287003,"2016_2018"
"HAA","03","1","Pocillopora","2  3  ",109.24,"Pocillopora","1",296.45,"survived",1.7137495422922,11.7935867261351,"2016_2018"
"HAA","03","2","Pocillopora","4  ",443.99,"Pocillopora","3",557.86,"survived",0.256469740309466,23.7761566588666,"2016_2018"
"HAA","03","3","Acropora","5  ",95.48,"Acropora","4",305.18,"survived",2.19627147046502,11.0258292990284,"2016_2018"
"HAA","03","4","Pocillopora","6  ",148.49,"Pocillopora","5",255.52,"survived",0.720789278739309,13.7500305453379,"2016_2018"
"HAA","03","5","Pocillopora","7  ",30.73,"Pocillopora","9",64.02,"survived",1.08330621542467,6.25512999143196,"2016_2018"
"HAA","03","6","Pocillopora","8  ",5.08,NA,NA,0,"died",NA,2.54323748148981,"2016_2018"
"HAA","03","7","Pocillopora","9  ",84.15,"Pocillopora","2",138.99,"survived",0.651693404634581,10.3509954926791,"2016_2018"
"HAA","03","8","Pocillopora","10  ",120.1,"Pocillopora","8",189.21,"survived",0.575437135720233,12.3659237148987,"2016_2018"
"HAA","03","9","Pocillopora","11  ",25.97,NA,NA,0,"died",NA,5.75030703326111,"2016_2018"
"HAA","03","10","Pocillopora","12  ",58.41,"Pocillopora","10",129.61,"survived",1.21896935456258,8.62379973143978,"2016_2018"
"HAA","03","11","Pocillopora","13  ",5.88,NA,NA,0,"died",NA,2.73617406665635,"2016_2018"
