"spec_1","comparison","site","binned_dia","n_per_bin","p_mort","mid"
"Acropora","2016_2018","E2B","(0,2]",4,0.25,1
"Acropora","2016_2018","E2B","(2,4]",11,0.363636363636364,3
"Acropora","2016_2018","E2B","(4,6]",14,0.142857142857143,5
"Acropora","2016_2018","E2B","(6,8]",15,0.266666666666667,7
"Acropora","2016_2018","E2B","(8,10]",11,0,9
"Acropora","2016_2018","E2B","(10,12]",6,0.166666666666667,11
"Acropora","2016_2018","E2B","(12,14]",7,0.285714285714286,13
"Acropora","2016_2018","E2B","(14,16]",3,0,15
"Acropora","2016_2018","E2B","(16,18]",1,0,17
"Acropora","2018_2020","E2B","(0,2]",11,0.272727272727273,1
"Acropora","2018_2020","E2B","(2,4]",18,0.777777777777778,3
"Acropora","2018_2020","E2B","(4,6]",16,0.625,5
"Acropora","2018_2020","E2B","(6,8]",12,0.666666666666667,7
"Acropora","2018_2020","E2B","(8,10]",6,0.333333333333333,9
"Acropora","2018_2020","E2B","(10,12]",7,0.714285714285714,11
"Acropora","2018_2020","E2B","(12,14]",6,0.833333333333333,13
"Acropora","2018_2020","E2B","(14,16]",10,0.6,15
"Acropora","2018_2020","E2B","(16,18]",4,0.5,17
"Acropora","2018_2020","E2B","(18,20]",3,0.666666666666667,19
"Acropora","2018_2020","E2B","(20,22]",1,1,21
"Acropora","2018_2020","E2B","(22,24]",2,0.5,23
"Acropora","2020_2022","E2B","(0,2]",18,0.166666666666667,1
"Acropora","2020_2022","E2B","(2,4]",38,0.210526315789474,3
"Acropora","2020_2022","E2B","(4,6]",5,0.2,5
"Acropora","2020_2022","E2B","(6,8]",9,0.333333333333333,7
"Acropora","2020_2022","E2B","(8,10]",3,0.666666666666667,9
"Acropora","2020_2022","E2B","(10,12]",3,0,11
"Acropora","2020_2022","E2B","(12,14]",2,0,13
"Acropora","2020_2022","E2B","(14,16]",3,0,15
"Acropora","2020_2022","E2B","(16,18]",1,0,17
"Acropora","2020_2022","E2B","(18,20]",1,1,19
"Acropora","2020_2022","E2B","(20,22]",1,0,21
"Acropora","2020_2022","E2B","(24,26]",1,0,25
"Pocillopora","2016_2018","E2B","(0,2]",21,0.619047619047619,1
"Pocillopora","2016_2018","E2B","(2,4]",85,0.670588235294118,3
"Pocillopora","2016_2018","E2B","(4,6]",103,0.466019417475728,5
"Pocillopora","2016_2018","E2B","(6,8]",129,0.286821705426357,7
"Pocillopora","2016_2018","E2B","(8,10]",117,0.188034188034188,9
"Pocillopora","2016_2018","E2B","(10,12]",65,0.184615384615385,11
"Pocillopora","2016_2018","E2B","(12,14]",56,0.160714285714286,13
"Pocillopora","2016_2018","E2B","(14,16]",41,0.048780487804878,15
"Pocillopora","2016_2018","E2B","(16,18]",24,0,17
"Pocillopora","2016_2018","E2B","(18,20]",13,0,19
"Pocillopora","2016_2018","E2B","(20,22]",5,0,21
"Pocillopora","2016_2018","E2B","(22,24]",4,0.25,23
"Pocillopora","2018_2020","E2B","(0,2]",7,0.714285714285714,1
"Pocillopora","2018_2020","E2B","(2,4]",43,0.72093023255814,3
"Pocillopora","2018_2020","E2B","(4,6]",59,0.661016949152542,5
"Pocillopora","2018_2020","E2B","(6,8]",60,0.566666666666667,7
"Pocillopora","2018_2020","E2B","(8,10]",77,0.454545454545455,9
"Pocillopora","2018_2020","E2B","(10,12]",70,0.428571428571429,11
"Pocillopora","2018_2020","E2B","(12,14]",62,0.306451612903226,13
"Pocillopora","2018_2020","E2B","(14,16]",41,0.24390243902439,15
"Pocillopora","2018_2020","E2B","(16,18]",37,0.216216216216216,17
"Pocillopora","2018_2020","E2B","(18,20]",32,0.375,19
"Pocillopora","2018_2020","E2B","(20,22]",22,0.181818181818182,21
"Pocillopora","2018_2020","E2B","(22,24]",14,0.428571428571429,23
"Pocillopora","2018_2020","E2B","(24,26]",8,0.625,25
"Pocillopora","2018_2020","E2B","(26,28]",5,0.8,27
"Pocillopora","2018_2020","E2B","(28,30]",1,1,29
"Pocillopora","2018_2020","E2B","(30,32]",1,0,31
"Pocillopora","2018_2020","E2B","(34,36]",2,0.5,35
"Pocillopora","2020_2022","E2B","(0,2]",21,0.619047619047619,1
"Pocillopora","2020_2022","E2B","(2,4]",58,0.655172413793103,3
"Pocillopora","2020_2022","E2B","(4,6]",41,0.804878048780488,5
"Pocillopora","2020_2022","E2B","(6,8]",46,0.826086956521739,7
"Pocillopora","2020_2022","E2B","(8,10]",43,0.651162790697674,9
"Pocillopora","2020_2022","E2B","(10,12]",42,0.571428571428571,11
"Pocillopora","2020_2022","E2B","(12,14]",37,0.432432432432432,13
"Pocillopora","2020_2022","E2B","(14,16]",27,0.481481481481481,15
"Pocillopora","2020_2022","E2B","(16,18]",24,0.583333333333333,17
"Pocillopora","2020_2022","E2B","(18,20]",11,0.363636363636364,19
"Pocillopora","2020_2022","E2B","(20,22]",16,0.125,21
"Pocillopora","2020_2022","E2B","(22,24]",2,0,23
"Pocillopora","2020_2022","E2B","(24,26]",1,0,25
