"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"E2B_1_1","Pocillopora","1",205.45,"Pocillopora","8",364.5,"grew",0.774154295449014,"2016_2018","E2B"
"E2B_1_2","Pocillopora","2",88.14,"Pocillopora","4",164.76,"grew",0.86929884275017,"2016_2018","E2B"
"E2B_1_3","Pocillopora","3",50.12,NA,NA,0,"died",NA,"2016_2018","E2B"
"E2B_1_4","Pocillopora","4",51.69,"Pocillopora","1",119.9,"grew",1.31959760108338,"2016_2018","E2B"
"E2B_1_6","Pocillopora","6",73.18,"Pocillopora","3",155.09,"grew",1.11929488931402,"2016_2018","E2B"
"E2B_1_7","Pocillopora","7",61.17,"Pocillopora","13",119.89,"grew",0.959947686774563,"2016_2018","E2B"
"E2B_1_8","Pocillopora","8",25.64,"Pocillopora","26",47.68,"grew",0.859594383775351,"2016_2018","E2B"
"E2B_1_9","Pocillopora","9",82.72,"Pocillopora","15",90.68,"grew",0.0962282398452612,"2016_2018","E2B"
"E2B_1_10","Pocillopora","10",49.85,"Pocillopora","16",114.72,"grew",1.30130391173521,"2016_2018","E2B"
"E2B_1_11","Pocillopora","11",4.41,"Pocillopora","2",20.83,"grew",3.72335600907029,"2016_2018","E2B"
"E2B_1_12","Pocillopora","12",2.82,NA,NA,0,"died",NA,"2016_2018","E2B"
"E2B_1_14","Pocillopora","14",19.35,"Pocillopora","21",29.77,"grew",0.538501291989664,"2016_2018","E2B"
"E2B_1_16","Pocillopora","16",45.85,"Pocillopora","7",92.99,"grew",1.02813522355507,"2016_2018","E2B"
"E2B_1_17","Pocillopora","17",87.94,NA,NA,0,"died",NA,"2016_2018","E2B"
"E2B_1_18","Pocillopora","18",54.08,"Pocillopora","22",115.88,"grew",1.14275147928994,"2016_2018","E2B"
"E2B_1_19","Pocillopora","19",42.54,"Pocillopora","19",29.05,"shrunk",-0.317113305124589,"2016_2018","E2B"
"E2B_1_20","Pocillopora","20",63.68,"Pocillopora","18",22.02,"shrunk",-0.654208542713568,"2016_2018","E2B"
"E2B_1_21","Pocillopora","21",60.81,"Pocillopora","23",65.1,"grew",0.0705476073014305,"2016_2018","E2B"
"E2B_1_22","Pocillopora","22",19.99,NA,NA,0,"died",NA,"2016_2018","E2B"
"E2B_1_23","Pocillopora","23",185.49,"Pocillopora","12",475.91,"grew",1.56569087282333,"2016_2018","E2B"
"E2B_1_24","Pocillopora","24",41.1,"Pocillopora","11",107.24,"grew",1.60924574209246,"2016_2018","E2B"
"E2B_1_25","Pocillopora","26",15.14,NA,NA,0,"died",NA,"2016_2018","E2B"
"E2B_1_26","Pocillopora","27",77.98,"Pocillopora","9",157.62,"grew",1.02128750961785,"2016_2018","E2B"
"E2B_1_27","Pocillopora","28",184.04,"Pocillopora","10",289.18,"grew",0.571288850249946,"2016_2018","E2B"
"E2B_1_28","Pocillopora","29",124.19,"Pocillopora","31",62.81,"shrunk",-0.494242692648361,"2016_2018","E2B"
"E2B_1_30","Pocillopora","31",24.76,"Pocillopora","32",52.38,"grew",1.11550888529887,"2016_2018","E2B"
"E2B_1_31","Pocillopora","32",35.69,"Pocillopora","29",106.14,"grew",1.97394228075091,"2016_2018","E2B"
"E2B_1_32","Pocillopora","33",52.45,NA,NA,0,"died",NA,"2016_2018","E2B"
"E2B_1_33","Pocillopora","34",68.14,"Pocillopora","27",98.64,"grew",0.44760786615791,"2016_2018","E2B"
"E2B_1_35","Pocillopora","36",7.54,NA,NA,0,"died",NA,"2016_2018","E2B"
"E2B_1_36","Pocillopora","37",73.14,"Pocillopora","28",260.74,"grew",2.56494394312278,"2016_2018","E2B"
"E2B_1_38","Pocillopora",NA,59.88,"Pocillopora","17",59.88,"born",NA,"2016_2018","E2B"
"E2B_10_0","Pocillopora","0  ",235.15,"Pocillopora","0  ",384.36,"grew",0.634531150329577,"2016_2018","E2B"
"E2B_10_1","Pocillopora","1  ",15.53,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_2","Pocillopora","2  ",151.88,"Pocillopora","29  ",37.65,"shrunk",-0.752106926520938,"2016_2018","E2B"
"E2B_10_3","Pocillopora","3  ",64.16,"Pocillopora","28  ",39.36,"shrunk",-0.386533665835411,"2016_2018","E2B"
"E2B_10_4","Pocillopora","4  ",18.42,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_5","Pocillopora","5  ",39.21,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_6","Pocillopora","6  ",5.2,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_7","Pocillopora","7  8  ",170.58,"Pocillopora","1  ",306.62,"grew",0.79751436276234,"2016_2018","E2B"
"E2B_10_8","Pocillopora","9  ",27.57,"Pocillopora","2  ",58.99,"grew",1.13964454116794,"2016_2018","E2B"
"E2B_10_9","Pocillopora","12  ",17.72,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_10","Pocillopora","13  ",159.26,"Pocillopora","11  ",50.63,"shrunk",-0.682092176315459,"2016_2018","E2B"
"E2B_10_11","Pocillopora","14  ",11.04,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_12","Pocillopora","15  ",61.14,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_13","Pocillopora","16  ",36.48,"Pocillopora","14  ",19.27,"shrunk",-0.471765350877193,"2016_2018","E2B"
"E2B_10_14","Pocillopora","17  18  ",288.65,"Pocillopora","10  ",483.73,"grew",0.67583578728564,"2016_2018","E2B"
"E2B_10_16","Pocillopora","20  ",7.22,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_17","Pocillopora","21  ",155.87,"Pocillopora","12  ",345.3,"grew",1.21530762815166,"2016_2018","E2B"
"E2B_10_18","Pocillopora","22  ",18,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_22","Pocillopora","27  ",44.48,"Pocillopora","24  ",54.53,"grew",0.225944244604317,"2016_2018","E2B"
"E2B_10_23","Pocillopora","28  ",60.63,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_24","Pocillopora","29  ",35.04,NA,"",0,"died",NA,"2016_2018","E2B"
