"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"HAA_01_0","Pocillopora","0",16.76,"Pocillopora","8",66.55,"grew",2.97076372315036,"2016_2018","HAA"
"HAA_01_1","Pocillopora","1",64.95,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_01_2","Pocillopora","2",95.85,"Pocillopora","0",309.49,"grew",2.22889932185707,"2016_2018","HAA"
"HAA_01_3","Pocillopora","3",79.17,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_01_4","Pocillopora","4",2.81,"Pocillopora","3",41.72,"grew",13.846975088968,"2016_2018","HAA"
"HAA_01_5","Pocillopora","5",26.19,"Pocillopora","4",54.87,"grew",1.0950744558992,"2016_2018","HAA"
"HAA_01_6","Pocillopora","6",15.01,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_01_7","Pocillopora","7",23.65,"Pocillopora","6",47.12,"grew",0.992389006342495,"2016_2018","HAA"
"HAA_01_8","Pocillopora","8",89.07,"Pocillopora","7",286.54,"grew",2.21702032109577,"2016_2018","HAA"
"HAA_01_9","Pocillopora","9",15.19,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_01_10","Pocillopora","10",66.7,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_01_11","Pocillopora","11",59.64,"Pocillopora","9",132.67,"grew",1.22451374916164,"2016_2018","HAA"
"HAA_01_12","Pocillopora","12",155.42,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_01_13","Pocillopora","13",350.14,"Pocillopora","10",600.01,"grew",0.713628834180614,"2016_2018","HAA"
"HAA_01_14","Pocillopora","14",61.2,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_01_15","Pocillopora","15",363.97,"Pocillopora","12",720.4,"grew",0.979284006923647,"2016_2018","HAA"
"HAA_01_16","Pocillopora",NA,8.69,"Pocillopora","1",8.69,"born",NA,"2016_2018","HAA"
"HAA_01_17","Acropora",NA,11.32,"Acropora","2",11.32,"born",NA,"2016_2018","HAA"
"HAA_01_18","Acropora",NA,2.37,"Acropora","5",2.37,"born",NA,"2016_2018","HAA"
"HAA_01_19","Acropora",NA,22.19,"Acropora","11",22.19,"born",NA,"2016_2018","HAA"
"HAA_01_20","Pocillopora",NA,2.79,"Pocillopora","13",2.79,"born",NA,"2016_2018","HAA"
"HAA_01_21","Pocillopora",NA,2.9,"Pocillopora","14",2.9,"born",NA,"2016_2018","HAA"
