genet,2016_E2B_15 Class name,2016_E2B_15 Object id,2016_E2B_15 Area,2018_E2B_14 Class name,2018_E2B_14 Object id,2018_E2B_14 Area,2020_E2B_14 Class name,2020_E2B_14 Object id,2020_E2B_14 Area,2022real_E2B_14 Class name,2022real_E2B_14 Object id,2022real_E2B_14 Area
0,Pocillopora  Pocillopora  ,0  1  ,177.4  9.83  ,Pocillopora  ,2  ,322.46  ,Pocillopora  ,0  ,393.75  ,Pocillopora  ,1  ,296.13  
1,Pocillopora  ,2  ,266.79  ,Pocillopora  ,37  ,363.67  ,Pocillopora  ,39  ,339.0  ,Pocillopora  ,2  ,63.6  
2,Pocillopora  ,3  ,20.31  ,,,,,,,,,
3,Pocillopora  ,4  ,151.33  ,,,,,,,,,
4,Pocillopora  ,5  ,25.57  ,Pocillopora  ,6  ,23.66  ,Pocillopora  ,9  ,31.57  ,,,
5,Pocillopora  ,6  ,52.43  ,Pocillopora  ,3  ,111.36  ,,,,,,
6,Pocillopora  ,7  ,41.02  ,Pocillopora  ,1  ,56.26  ,Pocillopora  ,20  ,81.53  ,Pocillopora  ,4  ,41.38  
7,Pocillopora  ,8  ,39.44  ,Pocillopora  ,4  ,44.74  ,,,,,,
8,Pocillopora  ,9  ,7.63  ,,,,,,,,,
9,Pocillopora  ,10  ,4.5  ,,,,,,,,,
10,Pocillopora  ,11  ,109.46  ,Pocillopora  ,7  ,230.49  ,,,,,,
11,Pocillopora  ,12  ,42.09  ,Pocillopora  ,11  ,95.33  ,Pocillopora  ,12  ,136.68  ,,,
12,Pocillopora  ,13  ,42.07  ,Pocillopora  ,8  ,44.55  ,Pocillopora  Pocillopora  Pocillopora  ,14  15  17  ,4.65  4.58  7.88  ,,,
13,Pocillopora  Pocillopora  ,14  15  ,130.86  12.76  ,Pocillopora  Pocillopora  ,14  36  ,173.05  57.99  ,Pocillopora  Pocillopora  ,13  34  ,18.7  181.46  ,Pocillopora  ,11  ,39.96  
14,Pocillopora  ,16  ,24.5  ,Pocillopora  ,13  ,49.71  ,Pocillopora  ,11  ,28.32  ,,,
15,Pocillopora  ,17  ,41.43  ,Pocillopora  ,16  ,59.05  ,Pocillopora  Pocillopora  ,18  47  ,2.11  2.22  ,,,
16,Pocillopora  ,18  ,143.31  ,Pocillopora  ,25  ,225.09  ,Pocillopora  Pocillopora  ,29  30  ,5.13  21.1  ,,,
17,Pocillopora  ,19  ,11.86  ,Pocillopora  ,18  ,25.19  ,,,,,,
18,Pocillopora  ,20  ,77.51  ,Pocillopora  ,17  ,123.81  ,,,,,,
19,Pocillopora  ,21  ,10.04  ,Pocillopora  ,21  ,36.31  ,Pocillopora  ,22  ,40.46  ,,,
20,Pocillopora  ,22  ,45.15  ,Pocillopora  ,19  ,139.96  ,Pocillopora  ,21  ,117.26  ,,,
21,Pocillopora  ,23  ,57.01  ,Pocillopora  ,23  ,90.3  ,Pocillopora  ,6  ,12.48  ,,,
22,Pocillopora  ,24  ,43.64  ,Pocillopora  ,22  ,82.49  ,Pocillopora  ,1  ,10.63  ,,,
23,Pocillopora  Pocillopora  Pocillopora  ,28  29  30  ,74.4  12.11  10.41  ,Pocillopora  ,29  ,102.37  ,,,,,,
24,Pocillopora  ,31  ,168.47  ,Pocillopora  ,31  ,223.07  ,Pocillopora  Pocillopora  Pocillopora  ,23  24  25  ,137.4  18.51  80.41  ,,,
25,Pocillopora  ,32  ,13.62  ,Pocillopora  ,26  ,77.49  ,,,,,,
26,Pocillopora  Pocillopora  ,33  34  ,23.55  11.56  ,Pocillopora  ,27  ,64.99  ,Pocillopora  ,31  ,57.86  ,Pocillopora  ,15  ,59.2  
27,Pocillopora  Pocillopora  ,35  36  ,6.41  36.24  ,Pocillopora  ,34  ,117.79  ,Pocillopora  Pocillopora  Pocillopora  ,41  42  43  ,29.94  30.92  23.63  ,,,
28,Pocillopora  ,37  ,85.63  ,Pocillopora  ,24  ,189.9  ,,,,,,
29,Pocillopora  ,43  ,11.66  ,Pocillopora  ,35  ,48.24  ,Pocillopora  ,45  ,41.56  ,Pocillopora  ,8  ,66.56  
30,Pocillopora  ,44  ,2.44  ,,,,,,,,,
31,Pocillopora  Pocillopora  ,45  47  ,14.87  133.09  ,Pocillopora  ,33  ,244.62  ,Pocillopora  ,46  ,77.1  ,,,
32,Acropora  ,52  ,52.98  ,Acropora  ,9  ,121.74  ,,,,,,
33,,,,Pocillopora  ,0  ,7.99  ,Pocillopora  ,44  ,35.94  ,Pocillopora  ,0  ,65.73  
34,,,,Pocillopora  ,5  ,185.07  ,Pocillopora  ,7  ,70.85  ,,,
35,,,,Acropora  ,12  ,53.05  ,Acropora  ,10  ,95.05  ,Acropora  ,9  ,117.12  
36,,,,Pocillopora  ,15  ,26.17  ,Pocillopora  ,28  ,27.23  ,,,
37,,,,Pocillopora  ,20  ,8.54  ,,,,,,
38,,,,Pocillopora  ,28  ,18.62  ,,,,,,
39,,,,Pocillopora  ,30  ,7.75  ,Pocillopora  ,27  ,46.95  ,,,
40,,,,Pocillopora  ,32  ,6.52  ,Pocillopora  ,38  ,14.26  ,,,
41,,,,,,,Pocillopora  ,2  ,18.76  ,,,
42,,,,,,,Pocillopora  ,3  ,3.71  ,,,
43,,,,,,,Acropora  ,4  ,3.67  ,,,
44,,,,,,,Pocillopora  ,5  ,119.6  ,Pocillopora  ,5  ,101.61  
