genet,2016_E2B_16 Class name,2016_E2B_16 Object id,2016_E2B_16 Area,E2B_16_2018 Class name,E2B_16_2018 Object id,E2B_16_2018 Area,E2B_16_2020 Class name,E2B_16_2020 Object id,E2B_16_2020 Area,E2B_16_2022 Class name,E2B_16_2022 Object id,E2B_16_2022 Area
0,Pocillopora  ,0  ,57.26  ,,,,,,,,,
1,Pocillopora  ,1  ,132.69  ,Pocillopora  ,0  ,253.53  ,Pocillopora  ,33  ,284.33  ,,,
2,Pocillopora  ,2  ,18.82  ,Pocillopora  ,1  ,71.88  ,Pocillopora  ,3  ,87.69  ,Pocillopora  Pocillopora  ,2  3  ,20.14  8.58  
3,Pocillopora  ,3  ,16.39  ,Pocillopora  ,26  ,24.01  ,,,,,,
4,Pocillopora  ,4  ,1.27  ,,,,,,,,,
5,Pocillopora  ,5  ,1.12  ,,,,,,,,,
6,Pocillopora  ,6  ,1.41  ,Pocillopora  ,25  ,13.16  ,,,,,,
7,Pocillopora  Pocillopora  ,7  8  ,190.27  163.6  ,Pocillopora  ,4  ,323.65  ,Pocillopora  ,5  ,356.26  ,,,
8,Pocillopora  ,9  ,17.96  ,Pocillopora  ,6  ,24.83  ,Pocillopora  Pocillopora  ,9  10  ,1.75  1.52  ,,,
9,Pocillopora  ,10  ,80.84  ,Pocillopora  ,7  ,247.8  ,Pocillopora  Pocillopora  ,7  8  ,177.5  8.65  ,Pocillopora  Pocillopora  ,9  10  ,126.37  67.19  
10,Pocillopora  ,13  ,94.22  ,Pocillopora  ,9  ,301.35  ,,,,,,
11,Pocillopora  ,14  ,150.7  ,Pocillopora  ,8  ,155.96  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,11  12  13  25  26  27  30  31  ,5.77  1.21  1.42  4.26  1.12  0.65  1.08  2.42  ,,,
12,Pocillopora  ,15  ,22.82  ,,,,,,,,,
13,Pocillopora  ,16  ,45.28  ,Pocillopora  ,16  ,247.98  ,Pocillopora  ,34  ,250.85  ,Pocillopora  ,12  ,272.25  
14,Pocillopora  Pocillopora  Pocillopora  ,17  18  19  ,101.13  51.95  8.34  ,Pocillopora  ,17  ,282.28  ,Pocillopora  ,28  ,257.1  ,Pocillopora  ,19  ,183.45  
15,Acropora  ,20  ,52.49  ,Acropora  Acropora  ,27  28  ,235.87  2.12  ,Acropora  Acropora  ,22  23  ,5.43  2.17  ,Acropora  Acropora  ,16  17  ,16.49  10.72  
16,Pocillopora  ,21  ,29.49  ,Pocillopora  ,15  ,58.93  ,Pocillopora  ,21  ,48.25  ,Pocillopora  ,15  ,7.16  
17,Pocillopora  ,22  ,3.15  ,,,,,,,,,
18,Pocillopora  ,23  ,85.02  ,Pocillopora  ,14  ,126.32  ,Pocillopora  ,19  ,97.24  ,Pocillopora  ,14  ,39.7  
19,Pocillopora  ,25  ,75.95  ,Pocillopora  ,24  ,175.92  ,Pocillopora  Pocillopora  Pocillopora  ,16  17  18  ,28.09  16.18  12.45  ,,,
20,Acropora  ,26  ,105.7  ,Acropora  ,23  ,242.06  ,,,,,,
21,Pocillopora  Pocillopora  ,27  28  ,5.08  41.73  ,Pocillopora  Pocillopora  ,20  21  ,34.67  17.39  ,,,,,,
22,Pocillopora  ,29  ,68.48  ,Pocillopora  ,18  ,20.51  ,,,,,,
23,Pocillopora  ,30  ,10.14  ,Pocillopora  ,19  ,130.01  ,Pocillopora  ,29  ,136.95  ,,,
24,Pocillopora  ,33  ,8.41  ,Pocillopora  ,22  ,4.78  ,,,,,,
25,Pocillopora  ,34  ,1.46  ,Pocillopora  ,11  ,12.01  ,,,,,,
26,Pocillopora  ,37  ,2.53  ,Pocillopora  Pocillopora  ,13  29  ,37.23  46.93  ,Pocillopora  ,0  ,52.16  ,,,
27,,,,Acropora  ,2  ,3.57  ,Acropora  ,4  ,14.72  ,Acropora  ,1  ,3.59  
28,,,,Pocillopora  ,3  ,66.26  ,Pocillopora  ,2  ,110.26  ,Pocillopora  ,5  ,73.05  
29,,,,Pocillopora  ,5  ,85.03  ,,,,,,
30,,,,Acropora  ,10  ,2.17  ,,,,,,
31,,,,Pocillopora  ,12  ,3.21  ,,,,,,
32,,,,Acropora  ,30  ,1.82  ,Acropora  ,1  ,9.62  ,Acropora  ,0  ,32.2  
33,,,,Pocillopora  ,31  ,2.18  ,Pocillopora  ,6  ,16.97  ,Pocillopora  ,4  ,44.59  
34,,,,,,,Pocillopora  ,14  ,2.93  ,Pocillopora  ,6  ,15.67  
35,,,,,,,Pocillopora  ,15  ,10.4  ,,,
36,,,,,,,Pocillopora  ,20  ,3.39  ,,,
37,,,,,,,Acropora  ,24  ,4.15  ,Acropora  ,18  ,18.72  
38,,,,,,,Pocillopora  ,32  ,5.25  ,Pocillopora  ,21  ,5.72  
39,,,,,,,Acropora  ,35  ,3.68  ,Acropora  ,8  ,16.37  
40,,,,,,,Pocillopora  ,36  ,0.38  ,,,
41,,,,,,,Pocillopora  ,37  ,5.55  ,,,
42,,,,,,,,,,Pocillopora  ,7  ,3.96  
43,,,,,,,,,,Pocillopora  ,13  ,3.23  
