genet,2016_E2B_4 Class name,2016_E2B_4 Object id,2016_E2B_4 Area,2018_E2B_4 Class name,2018_E2B_4 Object id,2018_E2B_4 Area,2020_E2B_4 Class name,2020_E2B_4 Object id,2020_E2B_4 Area,2022_E2B_4 Class name,2022_E2B_4 Object id,2022_E2B_4 Area
0,Pocillopora  ,0  ,170.9  ,Pocillopora  ,1  ,261.15  ,Pocillopora  ,0  ,237.63  ,,,
1,Pocillopora  ,1  ,61.64  ,Pocillopora  ,2  ,39.85  ,,,,,,
2,Pocillopora  ,2  ,29.2  ,,,,,,,,,
3,Pocillopora  ,4  ,3.62  ,,,,,,,,,
4,Pocillopora  ,5  ,68.38  ,,,,,,,,,
5,Pocillopora  ,6  ,72.21  ,Pocillopora  ,4  ,189.24  ,,,,,,
6,Pocillopora  ,7  ,42.76  ,,,,,,,,,
7,Pocillopora  ,8  ,12.27  ,,,,,,,,,
8,Pocillopora  ,9  ,214.27  ,Pocillopora  ,5  ,468.94  ,,,,,,
9,Pocillopora  ,10  ,15.48  ,,,,,,,,,
10,Pocillopora  ,11  ,85.44  ,,,,,,,,,
11,Acropora  ,12  ,28.37  ,Acropora  ,6  ,52.85  ,Acropora  ,1  ,64.01  ,,,
12,Pocillopora  ,13  ,58.05  ,,,,,,,,,
13,Pocillopora  ,14  ,21.36  ,,,,,,,,,
14,Pocillopora  ,15  ,208.98  ,Pocillopora  ,8  ,264.35  ,Pocillopora  ,4  ,294.6  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,4  5  6  7  ,98.01  4.79  1.35  2.37  
15,Pocillopora  ,16  ,66.23  ,Pocillopora  ,7  ,71.47  ,Pocillopora  ,2  ,64.57  ,,,
16,Pocillopora  ,17  ,27.98  ,Pocillopora  ,15  ,38.62  ,Pocillopora  ,5  ,20.32  ,,,
17,Pocillopora  ,18  ,14.94  ,,,,,,,,,
18,Pocillopora  ,19  ,108.38  ,,,,,,,,,
19,Pocillopora  ,20  ,100.27  ,,,,,,,,,
20,Acropora  ,21  ,149.8  ,,,,,,,,,
21,Pocillopora  ,22  ,6.58  ,,,,,,,,,
22,Pocillopora  ,23  ,427.05  ,Pocillopora  ,0  ,968.52  ,Pocillopora  ,11  ,378.42  ,Pocillopora  ,8  ,231.82  
23,Pocillopora  ,26  ,14.41  ,,,,,,,,,
24,Pocillopora  ,27  ,21.74  ,,,,,,,,,
25,Pocillopora  ,28  ,145.44  ,,,,,,,,,
26,Pocillopora  ,29  ,159.09  ,Pocillopora  ,13  ,267.58  ,,,,,,
27,Acropora  ,30  ,182.35  ,Acropora  ,12  ,161.68  ,,,,,,
28,Pocillopora  ,31  ,79.05  ,,,,,,,,,
29,Pocillopora  ,32  ,3.44  ,,,,,,,,,
30,Pocillopora  ,33  ,80.34  ,,,,,,,,,
31,Pocillopora  ,34  ,4.16  ,,,,,,,,,
32,Pocillopora  ,37  ,42.56  ,Pocillopora  ,18  ,41.12  ,,,,,,
33,Pocillopora  ,38  ,78.89  ,,,,,,,,,
34,Pocillopora  ,39  ,331.13  ,Pocillopora  ,10  ,252.22  ,,,,,,
35,Acropora  ,40  ,42.33  ,Acropora  ,11  ,48.25  ,,,,,,
36,Pocillopora  ,41  ,19.11  ,Pocillopora  ,9  ,61.42  ,,,,,,
37,Pocillopora  ,42  ,57.52  ,Pocillopora  ,14  ,87.32  ,,,,,,
38,Pocillopora  ,43  ,38.89  ,,,,,,,,,
39,Pocillopora  ,44  ,146.42  ,,,,,,,,,
40,Pocillopora  ,45  ,4.13  ,,,,,,,,,
41,Pocillopora  ,46  ,9.17  ,,,,,,,,,
42,Pocillopora  ,47  ,139.33  ,,,,,,,,,
43,,,,Acropora  ,3  ,3.09  ,Acropora  ,8  ,31.05  ,Acropora  ,11  ,75.88  
44,,,,Acropora  ,16  ,1.83  ,Acropora  ,7  ,11.13  ,Acropora  ,12  ,33.92  
45,,,,Pocillopora  ,17  ,1.83  ,Pocillopora  ,6  ,9.4  ,,,
46,,,,,,,Acropora  ,3  ,1.37  ,,,
47,,,,,,,Acropora  ,9  ,11.07  ,Acropora  ,10  ,16.2  
48,,,,,,,Pocillopora  ,10  ,4.03  ,Pocillopora  ,9  ,17.71  
49,,,,,,,Acropora  ,15  ,4.61  ,,,
50,,,,,,,Acropora  ,16  ,3.79  ,Acropora  ,13  ,16.89  
51,,,,,,,,,,Pocillopora  ,0  ,8.84  
52,,,,,,,,,,Pocillopora  ,1  ,2.51  
53,,,,,,,,,,Acropora  ,14  ,11.19  
54,,,,,,,,,,Pocillopora  ,15  ,4.6  
55,,,,,,,,,,Pocillopora  ,16  ,1.89  
56,,,,,,,,,,Acropora  ,18  ,1.34  
