genet,2016_HAA_07 Class name,2016_HAA_07 Object id,2016_HAA_07 Area,2018_HAA_07 Class name,2018_HAA_07 Object id,2018_HAA_07 Area,2020_HAA_07 Class name,2020_HAA_07 Object id,2020_HAA_07 Area,2022_HAA_07 Class name,2022_HAA_07 Object id,2022_HAA_07 Area
0,Pocillopora  Pocillopora  ,0  16  ,340.55  6.81  ,Pocillopora  ,0  ,1028.33  ,Pocillopora  Pocillopora  Pocillopora  ,0  1  2  ,380.07  17.06  226.1  ,Pocillopora  Pocillopora  ,0  5  ,128.48  10.65  
1,Pocillopora  ,2  ,247.39  ,Pocillopora  ,3  ,363.2  ,Pocillopora  ,4  ,290.8  ,Pocillopora  Pocillopora  ,1  2  ,22.5  35.87  
2,Pocillopora  ,3  ,46.48  ,Pocillopora  ,1  ,140.34  ,Pocillopora  ,3  ,129.93  ,,,
3,Pocillopora  ,4  ,58.23  ,,,,,,,,,
4,Pocillopora  Pocillopora  ,5  28  ,8.97  4.51  ,Pocillopora  ,9  ,93.8  ,,,,,,
5,Pocillopora  ,6  ,40.37  ,Pocillopora  ,8  ,33.72  ,,,,,,
6,Pocillopora  ,7  ,9.1  ,Pocillopora  ,10  ,98.74  ,,,,,,
7,Pocillopora  ,9  ,27.28  ,Pocillopora  ,11  ,87.63  ,Pocillopora  ,8  ,114.95  ,Pocillopora  ,8  ,9.74  
8,Pocillopora  ,11  ,12.42  ,,,,,,,,,
9,Pocillopora  ,12  ,5.4  ,,,,,,,,,
10,Pocillopora  ,13  ,4.51  ,,,,,,,,,
11,Pocillopora  ,14  ,15.04  ,Pocillopora  ,6  ,65.71  ,Pocillopora  ,9  ,18.48  ,Pocillopora  ,6  ,6.02  
12,Pocillopora  ,15  ,6.67  ,Pocillopora  ,7  ,60.92  ,,,,,,
13,Pocillopora  ,17  ,4.87  ,,,,,,,,,
14,Pocillopora  ,18  ,67.84  ,Pocillopora  ,4  ,229.57  ,,,,,,
15,Pocillopora  ,19  ,12.36  ,Pocillopora  ,13  ,45.49  ,Pocillopora  ,11  ,45.09  ,Pocillopora  ,9  ,29.8  
16,Acropora  ,20  ,20.44  ,Acropora  ,14  ,107.41  ,,,,,,
17,Pocillopora  ,21  ,16.44  ,Pocillopora  ,15  ,35.6  ,Pocillopora  ,10  ,16.43  ,Pocillopora  ,10  ,27.42  
18,Pocillopora  ,22  ,2.29  ,,,,,,,,,
19,Pocillopora  ,23  ,3.93  ,Pocillopora  ,5  ,29.83  ,Pocillopora  ,12  ,39.59  ,,,
20,Pocillopora  ,24  ,3.7  ,,,,,,,,,
21,Pocillopora  ,25  ,35.93  ,Pocillopora  ,16  ,22.93  ,Pocillopora  ,13  ,56.26  ,,,
22,Pocillopora  ,26  ,11.75  ,,,,,,,,,
23,Pocillopora  ,27  ,2.58  ,,,,,,,,,
24,,,,Pocillopora  ,12  ,7.06  ,,,,,,
25,,,,Pocillopora  ,17  ,21.23  ,,,,,,
26,,,,Pocillopora  ,18  ,12.46  ,,,,,,
27,,,,Pocillopora  ,19  ,7.24  ,,,,,,
28,,,,,,,Pocillopora  ,5  ,9.93  ,,,
29,,,,,,,Pocillopora  ,6  ,9.02  ,,,
30,,,,,,,,,,Pocillopora  ,3  ,5.49  
31,,,,,,,,,,Pocillopora  ,4  ,11.1  
32,,,,,,,,,,Pocillopora  ,7  ,2.55  
33,,,,,,,,,,Pocillopora  ,11  ,24.72  
